year,reviewer_id,book_title,book_author,score,n_pos,n_neg,n_total,pos_share,neg_share,sentiment_index
2023,R10,Социальное неравенство. Альтернативный взгляд.,,6.0,3,0,3,1.0,0.0,1.0
2023,R10,От триггера к трикстеру. Энциклопедия диалектических наук. Т. 2: Негативность в этике.,,8.0,3,0,3,1.0,0.0,1.0
2023,R10,Европейская мечта. Переизобретение нации,,9.0,3,0,3,1.0,0.0,1.0
2023,R10,Разум в тумане войны: Наука и технологии на полях сражений,,8.0,3,0,3,1.0,0.0,1.0
2023,R10,"Дураки, мошенники и поджигатели. Мыслители новых левых",,6.0,3,0,3,1.0,0.0,1.0
2025,R9,Альманах «Исследуя сообщество глухих: 1»,,8.0,6,1,7,0.8571428571428571,0.14285714285714285,0.7142857142857143
2025,R16,РОССИЙСКИЙ УНИВЕРСИТЕТ КАК ТРАНСЛЯТОР КУЛЬТУРЫ: РЕФОРМЫ. КОРРУПЦИЯ. РИСКИ,,3.625,0,0,0,,,
2025,R9,Промыслы российской провинции: неформальные экономические практики населения,,8.25,0,0,0,,,
2023,R3,«Фабрика грез»,,7.125,1,1,2,0.5,0.5,0.0
2024,R17,"ЧЕЛОВЕЧЕСКИЙ КАПИТАЛ РОССИЙСКИХ ПРОФЕССИОНАЛОВ: СОСТОЯНИЕ, ДИНАМИКА, ФАКТОРЫ",,7.9,9,1,10,0.9,0.1,0.8
2024,R21,"Религия и подъем капитализма: историческое исследование (лекции, посвящённые памяти Генри Скотта Холланда)",,7.0,1,2,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333
2024,R19,Политические эмоции: почему любовь важна для справедливости,,10.0,3,3,6,0.5,0.5,0.0
2025,R15,Потенциальный Дальний Восток: как расцветают и угасают проекты развития в самом большом регионе России,,4.0,1,2,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333
2024,R15,Образ будущего в призме социологических измерений,,6.5,3,11,14,0.21428571428571427,0.7857142857142857,-0.5714285714285714
2024,R15,Постсоветская молодежь. Предварительные итоги,,6.0,0,4,4,0.0,1.0,-1.0
2024,R15,Люди на войне (2-е изд.),,9.125,3,2,5,0.6,0.4,0.2
2024,R15,Война патриотизмов. Пропаганда и массовые настроения в России периода крушения империи,,10.0,1,1,2,0.5,0.5,0.0
2025,R3,Не указано название книги,,6.0,1,2,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333
2025,R9,Мыслители города ветров. Прагматистская социальная наука в Чикаго в первой половине XX века,,8.0,2,2,4,0.5,0.5,0.0
2024,R3,Человеческий капитал профессионалов…,,9.0,3,0,3,1.0,0.0,1.0
2024,R3,Материнство….,,7.0,1,1,2,0.5,0.5,0.0
2024,R19,Политика различий: культурный плюрализм и идентичность,,7.0,4,3,7,0.5714285714285714,0.42857142857142855,0.14285714285714285
2025,R2,Новая Россия: Коридоры возможного,,6.0,2,5,7,0.2857142857142857,0.7142857142857143,-0.42857142857142855
2024,R10,Цифровой поворот в системе образования: социально гуманитарный контекст,,5.0,0,1,1,0.0,1.0,-1.0
2024,R10,Ума палата,,2.0,0,2,2,0.0,1.0,-1.0
2024,R10,Война патриотизмов. Пропаганда и массовые настроения в России периода крушения империи,,9.0,2,2,4,0.5,0.5,0.0
2024,R10,"Патриархат заработной платы. Заметки о Марксе, гендере и феминизме",,7.0,2,1,3,0.6666666666666666,0.3333333333333333,0.3333333333333333
2024,R10,Концепция прав человека в Китае. Кросс-культурное исследование,,8.0,1,1,2,0.5,0.5,0.0
2023,R17,Сельское предпринимательство в Северном Нечерноземье: социологические очерки по мотивам полевых наблюдений,,8.0,1,1,2,0.5,0.5,0.0
2023,R17,"Патриотизм снизу. «Как такое возможно, чтобы люди жили так бедно в богатой стране?»",,8.0,5,1,6,0.8333333333333334,0.16666666666666666,0.6666666666666666
2023,R17,Столько не живут: чему нас могут научить столетние старики,,9.0,5,1,6,0.8333333333333334,0.16666666666666666,0.6666666666666666
2023,R17,"Смотрим кино, понимаем жизнь. 19 социологических очерков",,9.0,4,0,4,1.0,0.0,1.0
2023,R17,А вы точно социологи? Нетолерантные истории о становлении социологии в регионах России,,7.0,0,0,0,,,
